epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,781.3,0.572,0.682,0.648,0.642,0.635,0.598,0.4942,0.562,0.752,0.542,0.00192,0.00192,0.00192
36,781.0,0.568,0.672,0.646,0.644,0.638,0.602,0.4982,0.558,0.742,0.538,0.00179,0.00179,0.00179
37,780.7,0.564,0.662,0.644,0.646,0.641,0.605,0.5022,0.554,0.732,0.535,0.00166,0.00166,0.00166
38,780.4,0.561,0.654,0.643,0.648,0.644,0.608,0.5052,0.552,0.725,0.532,0.00153,0.00153,0.00153
39,780.1,0.558,0.648,0.642,0.650,0.646,0.612,0.5082,0.548,0.718,0.530,0.00140,0.00140,0.00140
40,779.8,0.555,0.642,0.641,0.652,0.648,0.615,0.5102,0.545,0.712,0.528,0.00127,0.00127,0.00127
41,779.5,0.552,0.638,0.640,0.654,0.650,0.618,0.5122,0.542,0.708,0.526,0.00114,0.00114,0.00114
42,779.2,0.550,0.634,0.639,0.655,0.651,0.620,0.5142,0.538,0.704,0.524,0.00101,0.00101,0.00101
43,778.9,0.548,0.630,0.638,0.656,0.652,0.621,0.5162,0.535,0.700,0.522,0.00088,0.00088,0.00088
44,778.6,0.546,0.626,0.637,0.657,0.653,0.622,0.5182,0.532,0.696,0.520,0.00075,0.00075,0.00075
45,778.3,0.544,0.622,0.636,0.658,0.654,0.623,0.5202,0.530,0.692,0.518,0.00062,0.00062,0.00062
46,778.0,0.542,0.618,0.635,0.659,0.655,0.624,0.5212,0.528,0.688,0.516,0.00049,0.00049,0.00049
47,777.7,0.541,0.615,0.634,0.660,0.656,0.625,0.5222,0.526,0.684,0.515,0.00036,0.00036,0.00036
48,777.4,0.540,0.612,0.633,0.661,0.657,0.626,0.5232,0.524,0.681,0.514,0.00023,0.00023,0.00023
49,777.1,0.539,0.610,0.632,0.662,0.658,0.627,0.5242,0.522,0.678,0.513,0.00010,0.00010,0.00010
50,776.8,0.538,0.608,0.631,0.663,0.659,0.628,0.5252,0.520,0.675,0.512,0.00005,0.00005,0.00005
